Country Name,Country Code,2011,2012
Aruba,ABW,25354.78247,
Andorra,AND,,
Afghanistan,AFG,613.9791916,687.245475
Angola,AGO,5159.233666,5482.428049
Albania,ALB,4109.082012,3999.92531
Arab World,ARB,7195.404462,
United Arab Emirates,ARE,39057.84011,
Argentina,ARG,10951.58273,11573.06497
Armenia,ARM,3421.726556,3351.381364
American Samoa,ASM,,
Antigua and Barbuda,ATG,12420.16276,12733.49043
Australia,AUS,62125.75523,67555.76209
Austria,AUT,49338.76066,46642.29033
Azerbaijan,AZE,7189.815151,7163.704143
Burundi,BDI,246.9143271,251.014523
Belgium,BEL,46422.12222,43372.37071
Benin,BEN,745.9154748,751.9163168
Burkina Faso,BFA,649.92523,634.3209746
Bangladesh,BGD,731.8941678,752.1560525
Bulgaria,BGR,7286.643902,6978.053084
Bahrain,BHR,22466.94518,
"Bahamas, The",BHS,21490.35708,21908.28046
Bosnia and Herzegovina,BIH,4754.074234,4555.64457
Belarus,BLR,6784.711838,6685.018749
Belize,BLZ,4720.816998,
Bermuda,BMU,85973.15842,84460.32775
Bolivia,BOL,2319.608523,2575.683695
Brazil,BRA,12575.97941,11339.52111
Barbados,BRB,15503.32855,14917.14951
Brunei Darussalam,BRN,40244.31182,41126.61284
Bhutan,BTN,2513.936759,2398.905819
Botswana,BWA,7697.396215,7238.019365
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,498.7800669,482.6697266
Canada,CAN,51554.05921,52218.99369
East Asia and the Pacific (IFC classification),CEA,,
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,83087.05284,78924.7259
Channel Islands,CHI,,
Chile,CHL,14512.61129,15452.1736
China,CHN,5447.341422,6091.014352
Cote d'Ivoire,CIV,1241.561111,1243.986075
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,1204.698212,1166.91341
"Congo, Rep.",COG,3414.05471,3153.739461
Colombia,COL,7148.863695,7747.841321
Comoros,COM,871.6920171,830.5196682
Cabo Verde,CPV,3801.449765,3695.424487
Costa Rica,CRI,8660.830835,9386.304835
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,9190.21302,9317.667913
Cuba,CUB,6051.222001,
Curacao,CUW,,
Cayman Islands,CYM,,
Cyprus,CYP,29206.5106,26070.36743
Czech Republic,CZE,20580.17767,18682.81277
Germany,DEU,44314.96616,41862.71052
Djibouti,DJI,,
Dominica,DMA,6780.537527,6691.714872
Denmark,DNK,59889.0051,56325.65844
Dominican Republic,DOM,5492.654983,5745.779878
Algeria,DZA,5271.590312,5347.704734
East Asia & Pacific (developing only),EAP,4699.736097,5186.576429
East Asia & Pacific (all income levels),EAS,8500.838792,9036.563871
Europe & Central Asia (developing only),ECA,6854.201556,6939.491143
Europe & Central Asia (all income levels),ECS,24839.78254,23784.11719
Ecuador,ECU,5035.242493,5424.633611
"Egypt, Arab Rep.",EGY,2972.583516,3256.018469
Euro area,EMU,39318.84334,36526.84163
Eritrea,ERI,439.5423714,504.3021912
Spain,ESP,31472.5393,28624.47291
Estonia,EST,16808.94864,16716.67125
Ethiopia,ETH,335.002886,453.5689927
European Union,EUU,34825.6798,32782.08947
Finland,FIN,48634.17561,45720.76937
Fiji,FJI,4324.685529,4467.103791
France,FRA,42521.81295,39771.84281
Faeroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,3000.150055,3154.513862
Gabon,GAB,11768.60629,11256.52276
United Kingdom,GBR,39503.31463,39093.47284
Georgia,GEO,3219.569963,3490.245316
Ghana,GHA,1594.030809,1604.905782
Guinea,GIN,454.0022776,491.7899781
"Gambia, The",GMB,517.752432,512.1031992
Guinea-Bissau,GNB,595.8292485,494.3146151
Equatorial Guinea,GNQ,23473.43564,24035.70609
Greece,GRC,25630.79451,22082.88975
Grenada,GRD,7766.473216,7266.675457
Greenland,GRL,,
Guatemala,GTM,3242.690796,3330.52523
Guam,GUM,,
Guyana,GUY,3258.048188,3583.96217
High income,HIC,38217.35361,38182.43346
"Hong Kong SAR, China",HKG,35172.51773,36795.81988
Honduras,HND,2261.649191,2322.88056
Heavily indebted poor countries (HIPC),HPC,751.033928,777.1259128
Croatia,HRV,14434.70172,13880.53607
Haiti,HTI,732.2093375,770.9512406
Hungary,HUN,13783.84074,12530.52664
Indonesia,IDN,3471.434594,3556.785714
Isle of Man,IMN,,
India,IND,1533.661307,1489.229008
Not classified,INX,,
Ireland,IRL,49343.5439,45931.72479
"Iran, Islamic Rep.",IRN,6815.570191,
Iraq,IRQ,5686.608364,6454.619628
Iceland,ISL,44030.57988,42416.03803
Israel,ISR,33250.0909,
Italy,ITA,36147.6461,33071.83931
Jamaica,JAM,5321.443214,5440.452465
Jordan,JOR,4665.94354,4909.028094
Japan,JPN,46134.56824,46720.35666
Kazakhstan,KAZ,11356.58348,12116.15461
Kenya,KEN,799.9612452,942.5408848
Kyrgyz Republic,KGZ,1124.077623,1159.92974
Cambodia,KHM,878.3830178,944.4142464
Kiribati,KIR,1735.554046,1736.198171
St. Kitts and Nevis,KNA,13198.36438,14313.97432
"Korea, Rep.",KOR,22388.39597,22590.15825
Kosovo,KSV,3705.674351,3568.048768
Kuwait,KWT,51496.92715,
Latin America & Caribbean (developing only),LAC,9345.20243,9191.915334
Lao PDR,LAO,1265.709344,1417.079558
Lebanon,LBN,9148.129013,9705.392234
Liberia,LBR,376.9284544,413.7574149
Libya,LBY,,
St. Lucia,LCA,7023.324363,6848.237633
Latin America & Caribbean (all income levels),LCN,9686.402831,9575.151484
Least developed countries: UN classification,LDC,776.9017858,802.1728414
Low income,LIC,565.8269333,595.9340249
Liechtenstein,LIE,,
Sri Lanka,LKA,2835.991594,2923.209829
Lower middle income,LMC,1897.601568,1924.127596
Low & middle income,LMY,3809.910188,3963.831161
Lesotho,LSO,1243.909506,1193.039051
Lithuania,LTU,14148.39115,14183.01602
Luxembourg,LUX,111812.9683,103827.9923
Latvia,LVA,13837.60556,14007.87752
"Macao SAR, China",MAC,67359.47356,78275.14752
St. Martin (French part),MAF,,
Morocco,MAR,3044.107888,2902.329958
Monaco,MCO,163025.859,
Moldova,MDA,1970.118927,2037.557633
Madagascar,MDG,457.207965,447.4371289
Maldives,MDV,6487.561793,6566.647551
Middle East & North Africa (all income levels),MEA,8409.401087,
Mexico,MEX,9717.473061,9748.868686
Marshall Islands,MHL,3251.738261,3470.649795
Middle income,MIC,4361.348228,4542.831422
"Macedonia, FYR",MKD,4961.808783,4565.269884
Mali,MLI,739.1683384,693.9843612
Malta,MLT,21963.8116,20847.59057
Myanmar,MMR,,
Middle East & North Africa (developing only),MNA,4616.241551,
Montenegro,MNE,7253.452092,7041.224593
Mongolia,MNG,3181.104401,3672.96694
Northern Mariana Islands,MNP,,
Mozambique,MOZ,511.2994942,565.1507459
Mauritania,MRT,1154.065936,1106.136947
Mauritius,MUS,8748.144166,8119.546956
Malawi,MWI,363.6415594,268.0539113
Malaysia,MYS,10058.04302,10432.06247
North America,NAC,50029.82036,51801.67408
Namibia,NAM,5692.188831,5785.748182
New Caledonia,NCL,,
Niger,NER,388.3267312,394.7758309
Nigeria,NGA,1496.303316,1555.360614
Nicaragua,NIC,1631.723928,1753.642367
Netherlands,NLD,49841.61229,45954.73338
High income: nonOECD,NOC,19492.7717,20396.19899
Norway,NOR,99143.16512,99557.73123
Nepal,NPL,704.1858488,690.2053853
New Zealand,NZL,36918.78818,37749.44272
High income: OECD,OEC,42681.50989,42483.62864
OECD members,OED,37425.19027,37224.98921
Oman,OMN,23132.9389,
Other small states,OSS,4995.784118,4858.723608
Pakistan,PAK,1213.931385,1256.65956
Panama,PAN,8372.577255,9534.408425
Peru,PER,6112.164626,6795.772498
Philippines,PHL,2357.570924,2587.016762
Palau,PLW,10332.10326,11005.86563
Papua New Guinea,PNG,1767.238662,2184.163461
Poland,POL,13382.07215,12707.85431
Puerto Rico,PRI,26733.76117,27677.52559
"Korea, Dem. Rep.",PRK,,
Portugal,PRT,22513.5266,20165.28612
Paraguay,PRY,3956.729482,3813.471488
Pacific island small states,PSS,3309.704019,3466.910235
French Polynesia,PYF,,
Qatar,QAT,89735.68187,
Romania,ROU,8874.315178,9036.036168
Russian Federation,RUS,13284.0326,14037.01545
Rwanda,RWA,570.1668828,619.9270577
South Asia,SAS,1411.674121,1386.141378
Saudi Arabia,SAU,24116.17413,25136.21482
Sudan,SDN,1537.598665,1580.004017
Senegal,SEN,1083.261675,1023.294355
Singapore,SGP,47268.22895,51709.4533
Solomon Islands,SLB,1610.924286,1834.839705
Sierra Leone,SLE,501.0232247,634.922793
El Salvador,SLV,3698.546188,3789.567558
San Marino,SMR,,
Somalia,SOM,,
Serbia,SRB,5964.095198,5189.579379
Sub-Saharan Africa (developing only),SSA,1423.451864,1416.770269
South Sudan,SSD,1844.300643,943.0432659
Sub-Saharan Africa (all income levels),SSF,1441.336422,1435.130576
Small states,SST,5871.908225,5811.944842
Sao Tome and Principe,STP,1355.447344,1400.325245
Suriname,SUR,8236.202918,9376.495375
Slovak Republic,SVK,17760.41438,16847.36039
Slovenia,SVN,24478.34954,22000.06957
Sweden,SWE,56755.33193,55041.15684
Swaziland,SWZ,3274.387294,3041.850459
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,12289.2563,12858.1752
Syrian Arab Republic,SYR,,3289.056325
Turks and Caicos Islands,TCA,,
Chad,TCD,1006.319771,1035.257946
Togo,TGO,569.4697158,574.1195223
Thailand,THA,5192.118907,5479.76058
Tajikistan,TJK,834.6405524,870.5421066
Turkmenistan,TKM,5724.541586,6797.734307
Timor-Leste,TLS,959.5366874,1068.38931
Tonga,TON,4046.11987,4493.720255
Trinidad and Tobago,TTO,17686.72718,17436.50121
Tunisia,TUN,4350.335976,4236.793631
Turkey,TUR,10604.84015,10666.05568
Tuvalu,TUV,3993.651838,4044.189464
Tanzania,TZA,530.3948552,608.7158943
Uganda,UGA,478.6156442,547.0062461
Ukraine,UKR,3575.507325,3866.989792
Upper middle income,UMC,6926.080365,7289.079202
Uruguay,URY,13723.92185,14702.80039
United States,USA,49853.68234,51748.56149
Uzbekistan,UZB,1544.730285,1716.526284
St. Vincent and the Grenadines,VCT,6291.264323,6515.217548
"Venezuela, RB",VEN,10727.98257,12728.72685
Virgin Islands (U.S.),VIR,,
Vietnam,VNM,1543.02695,1755.214016
Vanuatu,VUT,3252.134993,3183.155758
West Bank and Gaza,PSE,,
World,WLD,10200.84009,10280.53608
Samoa,WSM,3361.961671,3619.689904
"Yemen, Rep.",YEM,1361.32653,1494.432832
South Africa,ZAF,7942.834101,7507.67494
"Congo, Dem. Rep.",COD,245.5826551,261.836335
Zambia,ZMB,1408.561319,1469.121162
Zimbabwe,ZWE,663.6426223,714.2330072
