Country,Tier 1 (label),Tier 2 (label),Tier 3 (label),Tier 4 (label),Tier 5 (label),Tier 1 (norm),Tier 2 (norm),Tier 3 (norm),Tier 4 (norm),Tier 5 (norm),Aggregate index
Afghanistan,0.674624393,4.502180842,6.78840795,,,0.630973295,0.916015949,1,,,0.848996415
Algeria,0.05113995,0.125893333,0.290566671,,,0.30378418,0.403411579,0.557280697,,,0.421492152
Angola,0.223401237,0.174502021,,,,0.49079403,0.450202611,,,,0.47049832
Argentina,,,,,,,,,,,
Australia,0.017243936,,,0.0160482,0.01885351,0.165898291,,,0.160888753,0.084305499,0.137030848
Austria,,,0.006860631,0.009515345,0.014517792,,,0.030981622,0.072945401,0.037846838,0.047257954
Azerbaijan,0.092210878,0.318131833,0.662523534,,,0.378556505,0.536264732,0.673079931,,,0.529300389
Bangladesh,0.569366945,1.263675782,,,,0.609457705,0.733934779,,,,0.671696242
Belarus,0.014212092,0.028133481,,,,0.141372026,0.188664602,,,,0.165018314
Belgium,,,,,0.014783032,,,,,0.041065601,0.041065601
Benin,0.905771644,2.646972168,,,,0.668343614,0.839897282,,,,0.754120448
Bolivia,0.219826221,0.673929826,1.566554438,,,0.488747873,0.643842125,0.793986827,,,0.642192275
Brazil,0.028473214,0.032734441,0.046195811,0.050256783,0.133506706,0.22950778,0.210371454,0.298918225,0.352955628,0.43230475,0.304811567
Bulgaria,,,,0.017667446,0.030191891,,,,0.177062235,0.168018327,0.172540281
Burkina Faso,0.962174434,4.360518934,,,,0.67600569,0.911434196,,,,0.793719943
Burundi,12.37703112,,,,,1,,,,,1
Cambodia,0.508439018,1.122802831,1.513467839,,,0.595102242,0.716995968,0.789143264,,,0.700413824
Cameroon,1.739957259,2.40283475,,,,0.751146852,0.826029534,,,,0.788588193
Canada,,,0.016663292,0.017406653,0.027315891,,,0.155658132,0.174560128,0.150221535,0.160146598
Chile,0.017645504,0.025946438,0.033709496,0.038927684,0.061802081,0.168818157,0.177067058,0.254646903,0.309977586,0.295374675,0.241176876
China,,,0.03305794,0.050180791,,,,0.251904749,0.352701029,,0.302302889
Colombia,0.040734512,0.047046067,0.090740754,,,0.274929847,0.26235006,0.39376887,,,0.310349592
Ivory Coast,0.378703574,0.858184813,0.895189113,,,0.55773695,0.678479311,0.715365971,,,0.650527411
Czech Republic,,0.012331554,0.01144985,0.014824931,0.018085186,,0.070462336,0.102939962,0.147548724,0.076908718,0.099464935
Denmark,,,0.00769991,0.008597173,0.011734006,,,0.047196042,0.055872581,0,0.034356208
Dominican Republic,0.043635386,0.086600677,0.19358258,0.4978393,1.031996853,0.283655355,0.349795242,0.500221613,0.738777647,0.795885961,0.533667164
Ecuador,,0.055248452,0.099093796,0.219836114,,,0.285381908,0.406140896,0.601250014,,0.430924273
Egypt,0.060885216,0.133710582,0.17862266,0.686540846,1.054316935,0.325907758,0.412044975,0.488921788,0.792851606,0.799690042,0.563883234
El Salvador,0.064377128,0.10766465,0.148830546,,,0.332981243,0.380995874,0.463286061,,,0.392421059
Ethiopia,0.734563368,1.070719486,,,,0.641769739,0.710189119,,,,0.675979429
Finland,,,0.008824217,0.01008964,0.012732969,,,0.066344279,0.082805503,0.014525379,0.054558387
France,,,0.008146255,0.006167879,,,,0.055112882,0,,0.027556441
Germany,0.009347836,,0.009346608,0.010830054,0.017195437,0.08823362,,0.074424646,0.094720343,0.067939798,0.081329602
Ghana,0.740591986,,,,,0.642806456,,,,,0.642806456
Greece,,0.024238717,,0.018644226,0.025144641,,0.167310044,,0.186116293,0.135496974,0.162974437
Guatemala,0.091328082,0.172047424,0.282889516,,,0.377336354,0.448172453,0.553518714,,,0.45967584
Haiti,1.337458164,2.119315101,,,,0.717777185,0.808036024,,,,0.762906605
Honduras,0.121755877,0.23097806,0.295437054,,,0.413809748,0.490384895,0.55961611,,,0.487936918
Hong Kong,,,,,0.013506189,,,,,0.025006213,0.025006213
Hungary,,,0.023114822,0.028448855,0.033598849,,,0.201637352,0.25721441,0.18702647,0.215292744
India,,0.126165085,0.257353398,0.285318163,0.44181254,,0.403720593,0.540227015,0.645116884,0.64506215,0.55853166
Indonesia,0.147956247,0.180827093,0.139210655,0.261409336,0.741578272,0.438530223,0.455305172,0.453898169,0.630391982,0.737134411,0.543051991
Iran,0.034207433,0.091151128,0.03734354,,,0.252779844,0.357134346,0.269030835,,,0.292981675
Israel,,,,0.009743776,0.013945382,,,,0.076936827,0.030695299,0.053816063
Italy,,,0.007788486,0.012373098,0.020581918,,,0.048802987,0.117131321,0.09989941,0.08861124
Japan,0.010072191,,0.010857623,0.010145423,0.014873434,0.097699947,,0.095478378,0.083733154,0.042149473,0.079765238
Jordan,0.054582232,0.088515325,0.192666665,0.125962536,,0.31204669,0.352929165,0.499555299,0.50755133,,0.418020621
Kenya,0.631359355,1.104376846,0.860753463,1.531019766,,0.622566385,0.714624633,0.709854791,0.92779298,,0.743709697
South Korea,,,0.015232523,,0.013382223,,,0.143045137,,0.023366925,0.083206031
Kyrgyzstan,0.537540152,,,2.351600588,0.294964703,0.602161793,,,1,0.573233013,0.725131602
Lao P.D.R.,0.376450184,1.144439995,0.601220022,,,0.556979977,0.719731383,0.65943855,,,0.645383303
Libya,,,,,,,,,,,
Madagascar,1.627391988,,,,,0.74266372,,,,,0.74266372
Malaysia,0.039009278,0.064272503,0.058916979,0.079331032,0.10111503,0.269440799,0.307063564,0.333092262,0.429759552,0.382900473,0.34445133
Mali,1.023875674,,,,,0.683889236,,,,,0.683889236
Mexico,,0.025157511,0.052980408,0.051343767,0.09529927,,0.172641945,0.31817069,0.356555872,0.372369283,0.304934448
Morocco,,0.047438259,0.071396975,0.167231841,,,0.26353979,0.360085036,0.555233126,,0.392952651
Nepal,0.259969347,,0.324913281,,,0.510021893,,0.572977541,,,0.541499717
Netherlands,,,0.008896664,0.010401822,0.016677607,,,0.067493024,0.087932421,0.062503741,0.072643062
Nicaragua,0.144367531,0.259861556,0.382573957,,,0.435415819,0.507270625,0.595929324,,,0.512871923
Niger,2.37231532,8.089694502,,,,0.790467263,1,,,,0.895233632
Nigeria,0.581377315,0.918955839,,,,0.612105422,0.688284406,,,,0.650194914
Pakistan,0.121989953,0.192322806,0.625523793,0.870957248,2.185081037,0.41405336,0.464137958,0.665006144,0.832883121,0.929250201,0.661066157
Papua New Guinea,,,,,,,,,,,
Paraguay,0.346211966,0.708617938,2.590724807,1.99151788,3.253110947,0.546359288,0.651034947,0.864664128,0.972036814,1,0.806819035
Peru,0.055053658,0.083655797,0.158701033,0.277589198,0.380152275,0.313137482,0.344837147,0.472307773,0.64049627,0.618339111,0.477823556
Philippines,0.113059199,0.144939643,0.298932739,0.598093471,1.581637974,0.404410259,0.423601492,0.561268725,0.769646633,0.871792593,0.60614394
Poland,,0.011918587,0.015245145,0.018094,0.024325762,,0.065580866,0.143161501,0.181076144,0.129610827,0.129857334
Portugal,,,,0.012265683,0.038391498,,,,0.1156643,0.210732628,0.163198464
Romania,,0.016043254,,,0.01933572,,0.108171183,,,0.08879538,0.098483282
Russia,,,0.005502937,0.011464452,0.018666748,,,0,0.10429822,0.082535617,0.062277946
Saudi Arabia,0.020623792,0.020472615,,0.029616784,,0.188600307,0.143110209,,0.263983711,,0.198564742
Senegal,0.915806516,,1.302799363,,,0.669741097,,0.768084704,,,0.718912901
Serbia,,0.03789607,0.057859929,0.081078875,0.156659018,,0.231354907,0.330548708,0.433426261,0.460735577,0.364016363
Sierra Leone,3.634065135,,,,,0.844561675,,,,,0.844561675
Singapore,,,0.005700456,0.007740968,0.028080885,,,0.004954462,0.038221898,0.155131949,0.06610277
Slovakia,,,0.013764382,0.016427769,0.026375137,,,0.128806165,0.164821857,0.143990847,0.145872956
Slovenia,0.019480771,0.025365587,0.028003608,0.038836743,0.156464451,0.181368339,0.17382238,0.22859263,0.309584062,0.460514639,0.27077641
South Africa,0.102040207,0.12125339,0.16900852,0.26687779,0.458172034,0.391403739,0.398029915,0.481148703,0.633875339,0.651526125,0.511196764
Spain,,,0.018476108,0.011278079,0.021338072,,,0.170167082,0.10154056,0.106313767,0.126007136
Sri Lanka,0.081084399,0.15021325,0.109274147,,,0.362246766,0.428723197,0.419880327,,,0.403616763
Sudan,0.379100064,1.009752508,,,,0.557869676,0.701787465,,,,0.62982857
Sweden,,0.009625838,0.009534662,0.009178447,0.015552788,,0.034962865,0.077223348,0.066880337,0.050089779,0.057289082
Switzerland,,0.008755773,0.008205835,0.012863419,0.018973374,,0.021385963,0.056136686,0.123670062,0.085432198,0.071656227
Syria,0.093253643,0.273902061,,,,0.379982796,0.514811846,,,,0.447397321
Taiwan,0.004662271,0.009424163,0.014654274,0.017020989,0.02259541,0,0.031928402,0.137607871,0.170790415,0.116492463,0.09136383
Tajikistan,1.23356872,2.726696244,2.657598679,,,0.70752115,0.844149918,0.868244682,,,0.806638583
Tanzania,3.754073334,5.353450242,,,,0.848682577,0.940834349,,,,0.894758463
Thailand,,,0.040472179,0.103638574,0.481676523,,,0.280334342,0.474729751,0.660420195,0.471828096
Tunisia,0.045188311,0.051722362,0.086435641,0.13005844,,0.288090872,0.275930575,0.386939901,0.512935258,,0.365974151
Uganda,3.588460372,4.978636127,,,,0.842959887,0.930432125,,,,0.886696006
Ukraine,0.031067142,0.040128392,0.040775624,0.062781517,0.044659017,0.240566368,0.239557524,0.281383792,0.390394061,0.237616816,0.277903712
United Arab Emirates,0.01990369,,0.024083628,0.031921013,0.18868829,0.184092468,,0.207405832,0.276589633,0.493807384,0.29047383
United Kingdom,,,,0.006444421,0.013261589,,,,0.007379451,0.021757039,0.014568245
United States,,0.007541981,0.011607954,0.013242589,0.022180979,,0,0.104866697,0.128557838,0.11320143,0.086656491
Uzbekistan,0.76152685,2.115532095,0.453151603,,,0.64634213,0.807779985,0.619715798,,,0.691279304
Venezuela,0.012406889,0.062287198,0.11090374,,,0.124142243,0.302567058,0.421960044,,,0.282889782
Vietnam,,0.035180941,0.137012334,,0.567644299,,0.220700794,0.451661863,,0.6896159,0.453992852
Yemen,0.507644053,0.90005602,,,,0.594903771,0.685306264,,,,0.640105017
Zambia,0.855239691,,,,,0.661062442,,,,,0.661062442
Zimbabwe,,,,,,,,,,,
